name,distance,population,county,count
WENHAM,22.33344924,4979,ESSEX,0
CARLISLE,19.91122249,5237,MIDDLESEX,0
HUBBARDSTON,48.11868624,4328,WORCESTER,0
GOSHEN,88.04851403,960,HAMPSHIRE,0
PERU,99.85223104,814,BERKSHIRE,0
WINDSOR,100.5809825,831,BERKSHIRE,0
NORTH BROOKFIELD,50.60411133,4735,WORCESTER,0
COLRAIN,86.67993779,1606,FRANKLIN,0
NORTHFIELD,73.42285158,2866,FRANKLIN,0
PLYMPTON,28.27179279,2930,PLYMOUTH,0
MONTAGUE,74.65879517,8580,FRANKLIN,0
WEST STOCKBRIDGE,117.4302896,1343,BERKSHIRE,0
OTIS,102.3502496,1634,BERKSHIRE,0
CLARKSBURG,106.6611729,1657,BERKSHIRE,0
GRANVILLE,94.48996389,1538,HAMPDEN,0
AQUINNAH,69.14199744,439,DUKES,0
CHILMARK,69.10003433,1212,DUKES,0
WARWICK,68.42623986,780,FRANKLIN,0
SAVOY,100.2587548,645,BERKSHIRE,0
HARDWICK,57.53238479,2667,WORCESTER,0
MOUNT WASHINGTON,122.5861268,160,BERKSHIRE,0
ASHBY,44.90346681,3193,MIDDLESEX,0
SHUTESBURY,68.54002419,1717,FRANKLIN,0
NEWBURY,33.24430325,6716,ESSEX,0
GROVELAND,30.36472589,6752,ESSEX,0
PELHAM,67.88844761,1280,HAMPSHIRE,0
EASTHAM,65.72580821,5752,BARNSTABLE,0
NEW ASHFORD,110.6449,250,BERKSHIRE,0
NEW MARLBOROUGH,111.0383344,1528,BERKSHIRE,0
MONTGOMERY,88.79436122,819,HAMPDEN,0
BRIMFIELD,58.56989886,3694,HAMPDEN,0
BECKET,101.891716,1931,BERKSHIRE,0
ROWE,96.54684952,424,FRANKLIN,0
MIDDLEFIELD,98.39800934,385,HAMPSHIRE,0
TRURO,56.54585123,2454,BARNSTABLE,0
HANCOCK,114.7045341,757,BERKSHIRE,0
WORTHINGTON,94.74788955,1193,HAMPSHIRE,0
EDGARTOWN,70.54563592,5168,DUKES,0
STOW,22.9147205,7174,MIDDLESEX,0
EAST BROOKFIELD,49.54802896,2224,WORCESTER,0
RICHMOND,115.9748079,1407,BERKSHIRE,0
ALFORD,119.5028631,486,BERKSHIRE,0
MONROE,100.3992355,118,FRANKLIN,0
OAKHAM,48.89731649,1851,WORCESTER,0
NEW SALEM,63.82707602,983,FRANKLIN,0
GILL,75.68492216,1551,FRANKLIN,0
LEVERETT,72.14300789,1865,FRANKLIN,0
BROOKFIELD,52.57054666,3439,WORCESTER,0
WESTHAMPTON,86.27596251,1622,HAMPSHIRE,0
HINSDALE,103.6110466,1919,BERKSHIRE,0
PROVINCETOWN,48.92539238,3664,BARNSTABLE,0
ROCHESTER,40.52486902,5717,PLYMOUTH,0
PHILLIPSTON,55.7733649,1726,WORCESTER,0
WENDELL,69.04281017,924,FRANKLIN,0
TISBURY,64.36825066,4815,DUKES,0
TYRINGHAM,107.8479065,427,BERKSHIRE,0
ROCKPORT,33.36303801,6992,ESSEX,0
OAK BLUFFS,66.1335369,5341,DUKES,0
CHARLEMONT,93.18533066,1185,FRANKLIN,0
RUSSELL,91.00832566,1643,HAMPDEN,0
NEW BRAINTREE,53.03727534,996,WORCESTER,0
PRINCETON,41.54093085,3495,WORCESTER,0
LINCOLN,13.53433514,7014,MIDDLESEX,0
BUCKLAND,88.64169243,1816,FRANKLIN,0
HATFIELD,78.37865403,3352,HAMPSHIRE,0
ASHFIELD,88.69529135,1695,FRANKLIN,0
MONTEREY,109.6578034,1095,BERKSHIRE,0
WEST TISBURY,67.12901846,3555,DUKES,0
STOCKBRIDGE,114.1847009,2018,BERKSHIRE,0
CUMMINGTON,93.92437912,829,HAMPSHIRE,0
ROYALSTON,61.27252906,1250,WORCESTER,0
WEST NEWBURY,33.58773005,4500,ESSEX,0
FLORIDA,101.2247746,694,BERKSHIRE,0
SANDISFIELD,105.02373,989,BERKSHIRE,0
HEATH,91.84186818,723,FRANKLIN,0
WHATELY,79.79606796,1607,FRANKLIN,0
WASHINGTON,105.5293389,494,BERKSHIRE,0
SHELBURNE,83.6228318,1884,FRANKLIN,0
CONWAY,83.52778825,1761,FRANKLIN,0
BLANDFORD,95.66385646,1215,HAMPDEN,0
